id,age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status,max_allowed_loan
35437,21,12000,OWN,0,EDUCATION,15000,6.99,0.12,N,4,0,-2426900
53756,21,13200,OWN,2,EDUCATION,25000,16.77,0.19,Y,3,0,-111739
42205,23,9600,RENT,5,MEDICAL,30000,12.42,0.31,N,3,0,-89000
19180,40,182004,RENT,3,EDUCATION,35000,8,0.19,N,11,0,35000
28072,40,90000,MORTGAGE,3,HOMEIMPROVEMENT,35000,12.42,0.39,N,14,0,35000
32074,40,131004,MORTGAGE,9,VENTURE,30000,7.9,0.23,N,13,0,30000
7224,40,150000,MORTGAGE,9,DEBTCONSOLIDATION,25000,11.89,0.17,N,11,0,25000
14471,40,132000,MORTGAGE,3,HOMEIMPROVEMENT,25000,16.82,0.22,N,17,0,25000
20163,40,80000,MORTGAGE,2,DEBTCONSOLIDATION,25000,10.25,0.31,N,11,0,25000
20384,40,80000,MORTGAGE,9,VENTURE,25000,18.67,0.3,N,17,0,25000
23400,40,60000,OWN,5,VENTURE,25000,11.97,0.42,Y,12,0,25000
26072,40,85000,MORTGAGE,3,HOMEIMPROVEMENT,25000,12.18,0.29,N,16,0,25000
35460,40,69996,OWN,19,EDUCATION,25000,18.25,0.36,N,14,0,25000
36188,40,186996,RENT,18,DEBTCONSOLIDATION,25000,6.99,0.12,N,17,0,25000
36659,40,120000,MORTGAGE,9,PERSONAL,25000,10.75,0.21,N,12,0,25000
43862,40,179000,MORTGAGE,7,VENTURE,25000,10.99,0.14,N,17,0,25000
10960,40,140000,MORTGAGE,2,MEDICAL,24500,11.83,0.17,N,14,0,24500
3196,40,210000,RENT,1,MEDICAL,24000,10.65,0.11,N,15,0,24000
46477,40,150000,MORTGAGE,2,PERSONAL,24000,11.83,0.16,N,13,0,24000
40816,40,170000,MORTGAGE,1,HOMEIMPROVEMENT,21000,14.72,0.12,N,12,0,21000
